n,run0,run1,run2,run3,run4
1000000,0.09924602508544922,0.10999608039855957,0.10185480117797852,0.10045266151428223,0.11409211158752441
2000000,0.197066068649292,0.194504976272583,0.20332598686218262,0.1933441162109375,0.2565329074859619
3000000,0.30280303955078125,0.3008887767791748,0.31659698486328125,0.3653409481048584,0.3853609561920166
4000000,0.44548678398132324,0.5314040184020996,0.41616106033325195,0.48897814750671387,0.4850139617919922
5000000,0.5835180282592773,0.5808892250061035,0.5314109325408936,0.6325831413269043,0.5432720184326172
6000000,0.7712948322296143,0.73876190185546875,0.6455051898956299,0.7456867694854736,0.6521279811859131
7000000,1.5356290340423584,0.7710552215576172,0.7660832405090332,0.7922728061676025,0.7456221580505371
8000000,0.981870174407959,0.9422972202301025,0.8837239742279053,0.8655338287353516,0.9428067207336426
9000000,1.2411689758300781,1.0784461498260498,1.0103569030761719,0.999629020690918,1.3022477626800537
10000000,1.3824279308319092,1.1895978450775146,1.1643321514129639,1.2925961017608643,1.355849027633667
