n,run_number,run_time
1000000,0,0.09924602508544922
2000000,0,0.197066068649292
3000000,0,0.30280303955078125
4000000,0,0.44548678398132324
5000000,0,0.5835180282592773
6000000,0,0.7712948322296143
7000000,0,1.5356290340423584
8000000,0,0.981870174407959
9000000,0,1.2411689758300781
10000000,0,1.3824279308319092
1000000,1,0.10999608039855957
2000000,1,0.194504976272583
3000000,1,0.3008887767791748
4000000,1,0.5314040184020996
5000000,1,0.5808892250061035
6000000,1,0.73876190185546875
7000000,1,0.7710552215576172
8000000,1,0.9422972202301025
9000000,1,1.0784461498260498
10000000,1,1.1895978450775146
1000000,2,0.10185480117797852
2000000,2,0.20332598686218262
3000000,2,0.31659698486328125
4000000,2,0.41616106033325195
5000000,2,0.5314109325408936
6000000,2,0.6455051898956299
7000000,2,0.7660832405090332
8000000,2,0.8837239742279053
9000000,2,1.0103569030761719
10000000,2,1.1643321514129639
1000000,3,0.10045266151428223
2000000,3,0.1933441162109375
3000000,3,0.3653409481048584
4000000,3,0.48897814750671387
5000000,3,0.6325831413269043
6000000,3,0.7456867694854736
7000000,3,0.7922728061676025
8000000,3,0.8655338287353516
9000000,3,0.999629020690918
10000000,3,1.2925961017608643
1000000,4,0.11409211158752441
2000000,4,0.2565329074859619
3000000,4,0.3853609561920166
4000000,4,0.4850139617919922
5000000,4,0.5432720184326172
6000000,4,0.6521279811859131
7000000,4,0.7456221580505371
8000000,4,0.9428067207336426
9000000,4,1.3022477626800537
10000000,4,1.355849027633667
